,,,,,,,,,,,,,,
Day,Time,Duration,Name,Activity,Need to book,Baby allowed,Pay as you go,Location,Cost,per,Website,Contact Email,Contact Telephone,Further info
Monday,09:30,1 hour,Mummy moves,Movement & Dance,TRUE,FALSE,TRUE,"Bisley WI Village Hall, Manor Street, Bisley, Stroud, GL6 7AX",£8.00,Session,https://bookwhen.com/dancepointe#focus=ev-skzu-20220915110000,dancepointeinfo@gmail.com,07854298847,
Monday,09:30,90mins,Baby and Toddler Group,Creative play,FALSE,TRUE,FALSE,Sheepscombe Village Hall,£2.50,Plus £1 per extra child,https://www.facebook.com/groups/204075709784698,,,Term-time only
Monday,09:30,2 hours,Baby and Toddler Group,Creative play,FALSE,TRUE,FALSE,"27 Acre Street, GL5 1DR",£1.00,Family,https://www.facebook.com/profile.php?id=100085994894675,hayley.rowley@salvationarmy.org.uk,,
Monday,10:15,90mins,Creative Journalling,Writing,TRUE,FALSE,FALSE,"St Albans Church, Parliament Street, Stroud, GL5 1DP",FREE,6 week course,https://bookwhen.com/stroudmotherhood?start=2025-05-23T00%3A00%3A00.000%2B01%3A00#focus=ev-spf9-20260112101500,team@stroudmotherhood.com,,
Monday,11:00,1 hour,Parent & Toddler swim,Swimming,FALSE,TRUE,TRUE,Stratford Park Leisure Center,£6.00,Adult+Toddler,https://myactivelifestyles.co.uk/centres/active-lifestyles-stroud/#swim-timetable,,,
Monday,11:00,30mins,Story Time,Social,TRUE,TRUE,FALSE,Stroud Library,FREE,Session,https://gloslibraries.uk/event/3155/booking,,,
Monday,11:30,30mins,Bounce and Rhyme,Creative play,TRUE,TRUE,FALSE,Nailsworth Library,FREE,Session,https://gloslibraries.uk/event/2307/booking,,,
Monday,14:00,90mins,Baby Yoga,Yoga,TRUE,TRUE,FALSE,"The Centre for Science & Arts, 13 Lansdown, Stroud GL5 1BB",£10.00,Session,https://www.facebook.com/CSAstroud/,cloud9yogaclaudia@gmail.com,07962701001,
Tuesday,09:30,90mins,Top of Town Tots,Creative play,FALSE,TRUE,FALSE,"Parliament Children's Centre, Bisley Old Road GL5 1NL",FREE,Session,https://www.facebook.com/topoftowntots,topoftowntots@outlook.com,,
Tuesday,10:15,1 hour,Gold Choir,Music & singing,FALSE,FALSE,TRUE,Museum in the Park,£35.00,7 Sessions,https://www.ticketsource.co.uk/the-museum-in-the-park/seasons-of-life-tuesday-morning-singing-series/2025-11-04/10:15/t-xdvvryd,eleanorholliday@googlemail.com,01453 763394,
Tuesday,10:30,1 hour,Funky Monkey Music 9M+,Music & singing,FALSE,FALSE,TRUE,Stroud Brewery,£7.00,Child + £3.5 for 2nd child,https://bookwhen.com/FunkyMunky#focus=ev-s97c-20240919100000,funkymunkystroud@gmail.com,07940 814494,
Tuesday,10:30,1 hour,Baby Yoga,Yoga,TRUE,TRUE,FALSE,"Warrior and Wild, Nailsworth",£50.00,5 week course,https://bookwhen.com/birthandbeyondcotswolds#focus=ev-sp4u-20241127000000,gillian.m.holmes@icloud.com,07957 384780,
Tuesday,11:00,1 hour,Parent & Toddler swim,Swimming,FALSE,TRUE,TRUE,Stratford Park Leisure Center,£6.00,Adult+Toddler,https://myactivelifestyles.co.uk/centres/active-lifestyles-stroud/#swim-timetable,,,
Tuesday,12:15,30mins,Wellbeing Circle,Wellbeing,TRUE,FALSE,FALSE,"St Albans Church, Parliament Street, Stroud, GL5 1DP",FREE,6 week course,https://bookwhen.com/stroudmotherhood?start=2025-05-23T00%3A00%3A00.000%2B01%3A00#focus=ev-sdyd-20250525103000,team@stroudmotherhood.com,,
Tuesday,13:00,1 hour,FitActive,Movement & Dance,TRUE,FALSE,FALSE,"Cashes Green Community Centre, Queen’s Drive, Cashes Green, Stroud GL5 4NR",£45.00,6 week course,https://kate-fit.com/product/fitactive-stroud/,info@kate-fit.com,7506676225.0,
Tuesday,13:30,1 hour,Baby Yoga,Yoga,TRUE,TRUE,FALSE,"25/26 Nelson Street, Stroud, GL5 2HH",£50.00,5 week course,https://bookwhen.com/birthandbeyondcotswolds#focus=ev-sp4u-20241127000000,gillian.m.holmes@icloud.com,07957 384780,
Tuesday,14:00,2 hours,Tea & Cake,Social,FALSE,FALSE,FALSE,Stroud Maternity,FREE,Session,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/maternity/our-maternity-services/having-your-baby-in-gloucestershire/stroud-maternity/,,0300 421 8018,
Wednesday,09:30,Half day,The Well Community Cafe,Social,FALSE,FALSE,FALSE,The Well community cafe,FREE,Session,https://www.facebook.com/groups/thearkstroud/?locale=en_GB,gillian.m.holmes@icloud.com,07957 384780,
Wednesday,09:30,1 hour,Mummy & me,Creative play,FALSE,TRUE,TRUE,Stratford Park Leisure Center,£4.00,Session,https://myactivelifestyles.co.uk/healthy-lifestyles/healthy-lifestyles-details/#mummy-and-me,,,
Wednesday,09:30,1 hour,Bumble & Bea Baby massage,Wellbeing,TRUE,TRUE,FALSE,"Cashes Green Community Centre, Queen’s Drive, Cashes Green, Stroud GL5 4NR",£65.00,5 week course,https://bumbleandbeastroud.co.uk/,beatrizblakeman@gmail.com,07712 452030,
Wednesday,09:30,90mins,Drop in clinic,Health & Support,FALSE,TRUE,FALSE,"Stroud Community Clinic, Field Road, GL5 2JB",FREE,Session,https://www.ghc.nhs.uk/our-teams-and-services/children-and-young-people/physical-health/health-visiting/,,,
Wednesday,09:45,90mins,Bisley Bees,Creative play,FALSE,TRUE,FALSE,"WI Hall, Bisley",£2.50,Per Child,https://www.facebook.com/groups/816011646331740/?locale=en_GB,,,
Wednesday,10:00,2 hours,Kidstuff Community cafe,Social,FALSE,TRUE,FALSE,"Brimscombe Mills, GL5 2QN",FREE,Session,https://www.strouddistrictkidsstuff.org.uk/calendar,info@strouddistrictkidsstuff.org.uk,,
Wednesday,10:00,90mins,Mums Free Dance,Movement & Dance,FALSE,TRUE,TRUE,"Trinity Rooms Community Hub, Field Road, Stroud, GL5 2HZ",£7.00,Session,https://www.mcgala.com/mcevents/mums-and-bubs-come-dance,comedancestroud@gmail.com,,Once a month
Wednesday,11:00,1 hour,Mama Sculpt,Exercise,TRUE,FALSE,TRUE,"Forcester, GL10 3TG",£14.00,Session,https://www.sbmovementmethod.com/studio#ribbon-schedule,hello@sbmovementmethod.com,,
Wednesday,11:15,1 hour,Tummy time,Exercise,TRUE,FALSE,FALSE,"Cashes Green Community Centre, Queen’s Drive, Cashes Green, Stroud GL5 4NR",£55.00,5 week course,https://bumbleandbeastroud.co.uk/,beatrizblakeman@gmail.com,07712 452030,
Wednesday,14:00,90mins,"Sleep Support, Stroud motherhood",Health & Support,TRUE,TRUE,FALSE,Stroud Maternity,FREE,Session,https://bookwhen.com/stroudmotherhood#focus=ev-skir-20251112140000,team@stroudmotherhood.com,,MONTHLY
Thursday,09:50,1 hour,Mumma sings 0-6M,Music & singing,FALSE,TRUE,FALSE,Stroud Maternity,FREE,Session,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/maternity/our-maternity-services/having-your-baby-in-gloucestershire/stroud-maternity/,,0300 421 8018,
Thursday,10:00,2 hours,Mobs,Health & Support,FALSE,TRUE,FALSE,Rodborough Community Hall,FREE,Session,https://gbsn.org.uk/groups/mobs-stroud/,,,Breast feeding hel
Thursday,10:30,1 hour,Funky Monkey Music 9M+,Music & singing,FALSE,FALSE,TRUE,Stroud Brewery,£7.00,Child + £3.5 for 2nd child,https://bookwhen.com/FunkyMunky#focus=ev-s97c-20240919100000,funkymunkystroud@gmail.com,07940 814494,
Thursday,11:00,1 hour,Mumma sings 6M +,Music & singing,FALSE,TRUE,TRUE,"Trinity Rooms Community Hub, Field Road, Stroud, GL5 2HZ",FREE,Session,www.sophiesterckx.co.uk,,,
Thursday,12:30,2 hours,Bumpstart,Health & Support,TRUE,FALSE,FALSE,Stroud Maternity Hospital,FREE,Session,https://homestartsd.org/bump-start-antenatal-group/,Groups@homestartsd.org,01453 821085,
Friday,09:30,90mins,Top of Town Tots,Creative play,FALSE,TRUE,FALSE,"Parliament Children's Centre, Bisley Old Road GL5 1NL",FREE,Session,https://www.facebook.com/topoftowntots,topoftowntots@outlook.com,,
Friday,09:45,1 hour,FitActive,Movement & Dance,TRUE,FALSE,FALSE,"Cashes Green Community Centre, Queen’s Drive, Cashes Green, Stroud GL5 4NR",£45.00,6 week course,https://kate-fit.com/product/fitactive-stroud/,,,
Friday,10:00,90mins,Mama moves Yoga,Yoga,TRUE,FALSE,TRUE,"Nailsworth Youth Club, Northfield Rd, Stroud GL6 0LZ",£10.00,,https://phoebeyoga.com/,phoebehigson@googlemail.com, 01453 833212,
Friday,10:00,90mins,Randwick Baby and Toddler Group,Creative play,FALSE,TRUE,FALSE,Randwick Village Hall,FREE,Session,https://www.facebook.com/profile.php?id=61551253364701&locale=en_GB,,,
Friday,10:00,90mins,Verity Tree Babies,Creative play,TRUE,TRUE,TRUE,"Sladebank woods, 7 Summer Close, Gl5 1PF",,,,,07827293753,Outdoors
Friday,10:00,1 hour,Baby Massage,Wellbeing,TRUE,TRUE,FALSE,Stroud Maternity,FREE,6 Week Course,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/maternity/our-maternity-services/having-your-baby-in-gloucestershire/stroud-maternity/,stroudmaternitybabymassage@outlook.com,,Beth Edmonds
Friday,10:30,1 hour,Funky Monkey Music 9M+,Movement & Dance,FALSE,FALSE,TRUE,Stroud Brewery,£7.00,Child + £3.5 for 2nd child,https://bookwhen.com/FunkyMunky#focus=ev-s97c-20240919100000,funkymunkystroud@gmail.com,07940 814494,
Friday,11:00,30mins,Bounce & Rhyme,Creative play,FALSE,TRUE,FALSE,"Five Valleys Shopping Centre, King Street, Stroud, GL5 1RR",FREE,Session,https://gloslibraries.uk/library/stroud-library,,01452 425555,
Friday,11:00,45mins,Parent & Toddler swim,Swimming,FALSE,TRUE,TRUE,Stratford Park Leisure Center,£6.00,Adult+Toddler,https://myactivelifestyles.co.uk/centres/active-lifestyles-stroud/#swim-timetable,,,
Sunday,09:00,2 hours,Shape of mum movement,Exercise,TRUE,FALSE,TRUE,Nailsworth Town Hall,£10-£18,Session,https://bookwhen.com/stroudmotherhood#focus=ev-shcl-20251116090000,team@stroudmotherhood.com,,MONTHLY/CHILD FREE
Sunday,10:30,90mins,Mums Singing Circle,Music & singing,TRUE,FALSE,TRUE,"Deer House Studio, Park Road, Stroud, GL5 2JF",£8-£15,Session,https://bookwhen.com/stroudmotherhood#focus=ev-shcl-20251116090000,team@stroudmotherhood.com,,MONTHLY/CHILD FREE
,,,,,,,,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
,,,,,FALSE,FALSE,FALSE,,,,,,,
